Date,Affected pages
2026-07-23,15
2026-07-24,14
2026-07-25,14
2026-07-26,14
2026-07-27,14
2026-07-28,14
2026-07-29,14
2026-07-30,14
2026-07-31,14
2026-08-01,14
2026-08-02,14
2026-08-03,14
2026-08-04,14
2026-08-05,14
2026-08-06,14
