Reason,Source,Validation,Pages
Excluded by ‘noindex’ tag,Website,Not Started,6
Alternate page with proper canonical tag,Website,Not Started,4
Discovered - currently not indexed,Google systems,Started,9
Crawled - currently not indexed,Google systems,Started,1
